Id,Label
0,1
1,0
2,0
3,1
4,1
5,1
6,0
7,0
8,0
9,1
10,1
11,0
12,0
13,0
14,0
15,1
16,1
17,0
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,0
27,0
28,1
29,0
30,1
31,1
32,0
33,0
34,0
35,1
36,0
37,1
38,1
39,0
40,0
41,1
42,1
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,0
63,0
64,1
65,0
66,0
67,0
68,1
69,1
70,0
71,0
72,1
73,1
74,0
75,1
76,1
77,1
78,0
79,1
80,0
81,1
82,0
83,0
84,0
85,0
86,1
87,0
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,1
96,1
97,1
98,1
99,0
100,1
101,0
102,0
103,1
104,0
105,1
106,1
107,0
108,1
109,0
110,0
111,1
112,1
113,0
114,1
115,1
116,1
117,1
118,1
119,1
120,0
121,0
122,1
123,0
124,1
125,0
126,0
127,0
128,0
129,1
130,1
131,1
132,0
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,1
144,1
145,0
146,1
147,0
148,0
149,0
150,1
151,1
152,0
153,1
154,1
155,1
156,1
157,1
158,0
159,0
160,1
161,0
162,1
163,1
164,1
165,0
166,0
167,0
168,1
169,0
170,1
171,1
172,0
173,1
174,0
175,1
176,1
177,0
178,0
179,1
180,0
181,0
182,0
183,1
184,0
185,1
186,1
187,0
188,1
189,0
190,0
191,0
192,0
193,0
194,1
195,1
196,0
197,0
198,1
199,1
200,0
201,0
202,1
203,0
204,1
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,1
213,0
214,0
215,0
216,1
217,0
218,0
219,1
220,0
221,0
222,1
223,0
224,0
225,0
226,1
227,0
228,1
229,1
230,0
231,1
232,1
233,0
234,0
235,1
236,1
237,0
238,1
239,0
240,0
241,0
242,1
243,1
244,0
245,1
246,0
247,1
248,0
249,1
250,0
251,0
252,1
253,0
254,0
255,0
256,1
257,0
258,0
259,0
260,0
261,1
262,0
263,0
264,0
265,1
266,1
267,0
268,1
269,0
270,1
271,0
272,0
273,0
274,0
275,1
276,0
277,0
278,0
279,1
280,1
281,0
282,0
283,1
284,0
285,1
286,0
287,0
288,0
289,0
290,1
291,0
292,1
293,1
294,0
295,1
296,1
297,0
298,0
299,0
300,1
301,1
302,1
303,0
304,0
305,0
306,0
307,1
308,1
309,0
310,0
311,0
312,0
313,1
314,0
315,0
316,1
317,0
318,0
319,0
320,1
321,0
322,1
323,1
324,0
325,0
326,0
327,0
328,1
329,0
330,0
331,0
332,0
333,1
334,0
335,1
336,0
337,0
338,0
339,1
340,1
341,0
342,1
343,0
344,0
345,0
346,1
347,0
348,0
349,0
350,1
351,0
352,0
353,0
354,1
355,1
356,1
357,0
358,0
359,1
360,0
361,1
362,0
363,0
364,1
365,1
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,1
376,0
377,0
378,0
379,0
380,1
381,1
382,0
383,1
384,0
385,1
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,1
395,1
396,1
397,1
398,1
399,0
400,0
401,0
402,1
403,1
404,1
405,1
406,1
407,1
408,0
409,0
410,1
411,0
412,1
413,1
414,0
415,0
416,0
417,0
418,1
419,0
420,1
421,1
422,0
423,0
424,0
425,1
426,0
427,1
428,1
429,1
430,0
431,0
432,0
433,1
434,1
435,0
436,0
437,1
438,1
439,0
440,0
441,1
442,0
443,0
444,1
445,0
446,1
447,0
448,0
449,1
450,0
451,1
452,0
453,0
454,0
455,0
456,1
457,0
458,0
459,1
460,1
461,0
462,1
463,1
464,1
465,0
466,1
467,1
468,1
469,1
470,1
471,0
472,0
473,0
474,1
475,0
476,1
477,1
478,1
479,0
480,1
481,1
482,0
483,0
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,1
492,0
493,1
494,0
495,0
496,0
497,0
498,0
499,1
500,1
501,1
502,1
503,0
504,1
505,1
506,0
507,0
508,0
509,1
510,0
511,0
512,0
513,1
514,0
515,0
516,1
517,0
518,0
519,0
520,1
521,1
522,1
523,0
524,0
525,0
526,1
527,0
528,1
529,0
530,0
531,0
532,1
533,1
534,1
535,0
536,1
537,0
538,0
539,1
540,1
541,1
542,0
543,0
544,0
545,0
546,1
547,1
548,1
549,1
550,0
551,1
552,1
553,1
554,0
555,1
556,0
557,0
558,0
559,1
560,0
561,0
562,0
563,1
564,1
565,0
566,0
567,1
568,0
569,0
570,0
571,1
572,0
573,1
574,1
575,0
576,0
577,1
578,1
579,1
580,1
581,1
582,0
583,0
584,0
585,0
586,0
587,0
588,1
589,0
590,1
591,1
592,0
593,1
594,1
595,1
596,0
597,1
598,0
599,1
600,0
601,0
602,0
603,0
604,1
605,0
606,1
607,0
608,0
609,0
610,0
611,0
612,1
613,1
614,1
615,0
616,1
617,0
618,0
619,0
620,1
621,0
622,0
623,0
624,0
625,1
626,1
627,1
628,1
629,0
630,0
631,1
632,1
633,0
634,0
635,1
636,0
637,1
638,0
639,1
640,1
641,0
642,0
643,1
644,1
645,0
646,1
647,0
648,0
649,0
650,0
651,1
652,0
653,0
654,0
655,1
656,0
657,0
658,0
659,0
660,1
661,0
662,0
663,1
664,1
665,1
666,0
667,1
668,0
669,0
670,1
671,1
672,1
673,0
674,0
675,0
676,0
677,0
678,1
679,0
680,0
681,0
682,1
683,1
684,1
685,1
686,0
687,0
688,1
689,1
690,0
691,0
692,1
693,1
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,1
702,0
703,0
704,0
705,0
706,0
707,1
708,0
709,0
710,0
711,1
712,0
713,0
714,1
715,1
716,0
717,0
718,0
719,1
720,0
721,0
722,1
723,0
724,0
725,1
726,1
727,1
728,0
729,0
730,0
731,1
732,0
733,0
734,0
735,1
736,1
737,0
738,1
739,1
740,0
741,0
742,0
743,0
744,1
745,0
746,0
747,0
748,0
749,1
750,0
751,0
752,1
753,0
754,1
755,0
756,1
757,0
758,0
759,1
760,1
761,1
762,0
763,1
764,0
765,0
766,0
767,1
768,0
769,1
770,0
771,1
772,0
773,0
774,1
775,1
776,1
777,1
778,1
779,0
780,1
781,0
782,0
783,1
784,0
785,1
786,1
787,0
788,0
789,1
790,1
791,0
792,1
793,1
794,0
795,0
796,1
797,0
798,0
799,0
800,0
801,1
802,1
803,0
804,0
805,1
806,1
807,0
808,0
809,1
810,0
811,0
812,0
813,0
814,1
815,1
816,0
817,1
818,1
819,1
820,0
821,0
822,0
823,0
824,1
825,1
826,0
827,1
828,0
829,0
830,0
831,0
832,0
833,1
834,0
835,1
836,1
837,0
838,0
839,0
840,0
841,0
842,0
843,1
844,0
845,0
846,0
847,1
848,1
849,0
850,0
851,1
852,0
853,0
854,1
855,1
856,0
857,0
858,0
859,0
860,1
861,1
862,1
863,1
864,1
865,0
866,0
867,1
868,1
869,1
870,0
871,1
872,0
873,1
874,1
875,0
876,1
877,0
878,0
879,1
880,1
881,0
882,1
883,1
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,1
892,0
893,0
894,0
895,1
896,1
897,1
898,0
899,1
900,0
901,1
902,1
903,0
904,0
905,1
906,1
907,0
908,0
909,1
910,1
911,0
912,1
913,1
914,0
915,1
916,0
917,1
918,0
919,1
920,0
921,1
922,0
923,1
924,1
925,0
926,1
927,0
928,0
929,0
930,1
931,0
932,0
933,0
934,0
935,1
936,1
937,1
938,0
939,0
940,0
941,1
942,0
943,1
944,0
945,0
946,0
947,1
948,0
949,0
950,0
951,1
952,1
953,1
954,0
955,0
956,0
957,0
958,1
959,0
960,1
961,0
962,0
963,1
964,1
965,1
966,1
967,0
968,1
969,1
970,0
971,1
972,0
973,0
974,1
975,1
976,0
977,0
978,1
979,1
980,1
981,0
982,0
983,0
984,0
985,1
986,0
987,1
988,1
989,1
990,1
991,1
992,0
993,0
994,1
995,0
996,1
997,0
998,0
999,0
1000,1
1001,0
1002,1
1003,1
1004,1
1005,0
1006,0
1007,1
1008,1
1009,0
1010,1
1011,1
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,1
1020,0
1021,0
1022,0
1023,0
1024,0
1025,1
1026,0
1027,0
1028,0
1029,1
1030,1
1031,0
1032,0
1033,0
1034,0
1035,0
1036,1
1037,0
1038,0
1039,0
1040,1
1041,0
1042,1
1043,1
1044,1
1045,1
1046,0
1047,1
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,0
1063,1
1064,0
1065,1
1066,1
1067,0
1068,1
1069,0
1070,0
1071,0
1072,0
1073,1
1074,1
1075,0
1076,1
1077,1
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,1
1086,1
1087,0
1088,0
1089,1
1090,0
1091,0
1092,1
1093,0
1094,0
1095,0
1096,1
1097,0
1098,1
1099,0
1100,0
1101,1
1102,0
1103,1
1104,0
1105,1
1106,0
1107,0
1108,0
1109,1
1110,1
1111,0
1112,1
1113,1
1114,1
1115,1
1116,0
1117,1
1118,1
1119,0
1120,1
1121,1
1122,0
1123,1
1124,0
1125,1
1126,0
1127,0
1128,1
1129,0
1130,1
1131,0
1132,0
1133,1
1134,0
1135,0
1136,1
1137,0
1138,1
1139,0
1140,0
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,0
1148,0
1149,0
1150,0
1151,0
1152,1
1153,0
1154,0
1155,1
1156,0
1157,1
1158,0
1159,0
1160,1
1161,1
1162,0
1163,1
1164,0
1165,1
1166,1
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,1
1175,0
1176,0
1177,1
1178,1
1179,0
1180,0
1181,1
1182,1
1183,0
1184,1
1185,1
1186,1
1187,0
1188,0
1189,0
1190,0
1191,1
1192,1
1193,1
1194,0
1195,0
1196,0
1197,1
1198,1
1199,0
1200,1
1201,1
1202,1
1203,0
1204,0
1205,0
1206,0
1207,1
1208,1
1209,1
1210,0
1211,0
1212,1
1213,1
1214,1
1215,0
1216,1
1217,0
1218,1
1219,1
1220,1
1221,1
1222,0
1223,0
1224,1
1225,0
1226,0
1227,1
1228,1
1229,1
